dataset,clip_id,t,k,latent_l2_drift,cosine_distance,normalized_l2,ensemble_variance,effective_rank,mahalanobis,ebid_entropy,pixel_error
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,8,1348.2547607421875,0.413330078125,0.8896416425704956,3.900653246091679e-05,4.436821937561035,232933.234375,1.4899383783340454,0.13223573565483093
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,16,1344.8563232421875,0.4313933253288269,0.89454585313797,4.180327232461423e-05,4.4579668045043945,601956.75,1.4946928024291992,0.12876786291599274
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,32,1303.100341796875,0.4569169282913208,0.8967721462249756,3.535778523655608e-05,4.483051776885986,186292.59375,1.5003039836883545,0.1293010711669922
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,2,1358.4686279296875,0.43380868434906006,0.8923937678337097,7.185683352872729e-05,4.413028240203857,354704.28125,1.4845610857009888,0.28431326150894165
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,4,1359.0196533203125,0.4344027638435364,0.892900824546814,7.193053170340136e-05,4.485215187072754,215107.671875,1.5007864236831665,0.2848718762397766
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,8,1353.0814208984375,0.42031317949295044,0.8899832367897034,7.028417894616723e-05,4.39691686630249,142073.390625,1.4809036254882812,0.28207749128341675
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,16,1363.1461181640625,0.43919312953948975,0.8953486680984497,6.840554851805791e-05,4.449089050292969,179027.671875,1.492699384689331,0.2840699255466461
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,32,1356.5230712890625,0.44765716791152954,0.8962185382843018,6.99183001415804e-05,4.334159851074219,288885.6875,1.4665278196334839,0.28562843799591064
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,2,1311.6329345703125,0.42706191539764404,0.8924391865730286,4.291684672352858e-05,4.4306111335754395,135416.234375,1.4885375499725342,0.27795180678367615
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,4,1413.4129638671875,0.4552212357521057,0.9048206806182861,4.2159917938988656e-05,4.41312313079834,703058.25,1.4845826625823975,0.2807272970676422
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,8,1417.8248291015625,0.47068846225738525,0.908028781414032,3.5899211070500314e-05,4.449216365814209,475103.6875,1.4927279949188232,0.2780792713165283
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,16,1333.6383056640625,0.44672489166259766,0.8997930884361267,3.516890137689188e-05,4.44401216506958,746701.0,1.4915575981140137,0.28085553646087646
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,32,1295.155029296875,0.4770662784576416,0.9073249101638794,2.0660425434471108e-05,4.083469390869141,209373.78125,1.4069470167160034,0.2825924754142761
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,2,1331.2791748046875,0.4686647057533264,0.9036179184913635,3.6740289942827076e-05,4.4211602210998535,19021.29296875,1.486402153968811,0.1656249463558197
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,4,1329.6680908203125,0.4724147319793701,0.9067984819412231,2.57140927715227e-05,4.306739330291748,611159.625,1.4601811170578003,0.1684620976448059
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,8,1314.720703125,0.482682466506958,0.9092862010002136,2.189812767028343e-05,4.387879371643066,1430924.125,1.4788460731506348,0.1878187358379364
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,16,1308.1982421875,0.49393463134765625,0.9114036560058594,1.953255559783429e-05,4.394748687744141,133829.25,1.4804103374481201,0.22484272718429565
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,32,1312.7542724609375,0.529661238193512,0.9191125631332397,2.3287440853891894e-05,4.14324951171875,909797.75,1.421480417251587,0.23464544117450714
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,2,1375.7059326171875,0.4320164918899536,0.8996699452400208,4.266732867108658e-05,4.443621635437012,157449.453125,1.4914697408676147,0.21775440871715546
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,4,1321.8905029296875,0.4296792149543762,0.8966818451881409,3.721371467690915e-05,4.409869194030762,275164.90625,1.4838449954986572,0.22177360951900482
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,8,1304.528076171875,0.4498702883720398,0.8989455103874207,3.928715887013823e-05,4.503278732299805,130949.2734375,1.5048056840896606,0.2195327877998352
