dataset,clip_id,mode,epsilon,j,entropy,pixel_error
ssv2,125148,pure,0.0,6,2.1600303649902344,0.2596589922904968
ssv2,125148,pure,0.0,8,2.0768628120422363,0.2549237012863159
ssv2,125148,pure,0.0,12,2.070340633392334,0.25910866260528564
ssv2,125148,pure,0.0,16,1.9442309141159058,0.19668909907341003
ssv2,125148,pure,0.0,24,1.9498536586761475,0.22170011699199677
ssv2,125148,pure,0.0,32,1.9140766859054565,0.22479014098644257
ssv2,125148,pure,0.05,2,2.256371021270752,0.26512613892555237
ssv2,125148,pure,0.05,4,2.182264804840088,0.26212483644485474
ssv2,125148,pure,0.05,6,2.160182237625122,0.259654700756073
ssv2,125148,pure,0.05,8,2.0770034790039062,0.2549206614494324
ssv2,125148,pure,0.05,12,2.0706863403320312,0.2591070234775543
ssv2,125148,pure,0.05,16,1.944429636001587,0.19668780267238617
ssv2,125148,pure,0.05,24,1.9499313831329346,0.22169066965579987
ssv2,125148,pure,0.05,32,1.9141600131988525,0.22478705644607544
ssv2,125148,pure,0.1,2,2.255496025085449,0.2651766538619995
ssv2,125148,pure,0.1,4,2.181631565093994,0.2621505856513977
ssv2,125148,pure,0.1,6,2.1600499153137207,0.25969386100769043
ssv2,125148,pure,0.1,8,2.0769617557525635,0.2549566924571991
ssv2,125148,pure,0.1,12,2.070056438446045,0.25914138555526733
ssv2,125148,pure,0.1,16,1.9439473152160645,0.1967317759990692
ssv2,125148,pure,0.1,24,1.9499139785766602,0.2217344343662262
ssv2,125148,pure,0.1,32,1.9145499467849731,0.22482366859912872
ssv2,125148,pure,0.2,2,2.2552313804626465,0.2651558518409729
ssv2,125148,pure,0.2,4,2.181105613708496,0.2622227966785431
ssv2,125148,pure,0.2,6,2.159809112548828,0.25976061820983887
ssv2,125148,pure,0.2,8,2.076538324356079,0.25501909852027893
ssv2,125148,pure,0.2,12,2.069159984588623,0.25912657380104065
ssv2,125148,pure,0.2,16,1.9438083171844482,0.19672848284244537
ssv2,125148,pure,0.2,24,1.950344204902649,0.22179050743579865
ssv2,125148,pure,0.2,32,1.9140286445617676,0.22488060593605042
ssv2,125148,pure,0.4,2,2.252790689468384,0.26528993248939514
ssv2,125148,pure,0.4,4,2.179521083831787,0.262209415435791
ssv2,125148,pure,0.4,6,2.1591849327087402,0.2597343623638153
ssv2,125148,pure,0.4,8,2.0755181312561035,0.25504070520401
ssv2,125148,pure,0.4,12,2.067220687866211,0.259223997592926
ssv2,125148,pure,0.4,16,1.9415209293365479,0.19691331684589386
ssv2,125148,pure,0.4,24,1.9488383531570435,0.22190551459789276
